ID,Level 1 (TOP TERMS),Level 2 (BROADER TERM),SYNONYMS,DESCRIPTION,Sport England TT,SportSuite TT,EMD TT,SE BT,SS TT,EMD TT,SE Recognised TT?,SE Recognised BT?
611363c5-8acf-4eeb-aeba-c33e9c70146e,Boccia,,,"The aim of the game is to throw leather balls - coloured red or blue as close as you can to a white target ball, or jack.",Level 1,Level 1,No,,,,Yes,
b885f4f6-2242-4d11-9466-065d60402624,Bowls,,,"Played outdoors on a flat square of grass, or indoors on an artificial surface, bowls involves throwing/rolling a ball to end up as close to a target as possible.",Level 1,Level 1,No,,,,Yes,
5574585d-3f21-493c-8860-54077f7e9bb2,Bowls,Boules,,,Level 1,Level 1,No,Level 2,No,No,Yes,No
46f94a25-a024-4b0a-be2f-3aef1dfea5ec,Bowls,Carpet Bowls,,,Level 1,Level 1,No,Level 2,No,No,Yes,No
7e3d7efd-d2da-4d42-86e6-4466a3062ceb,Bowls,Crown Green Bowls,,,Level 1,Level 1,No,Level 2,No,No,Yes,No
e2d7a898-09a9-4342-8ea8-0446936682bf,Bowls,Deck Bowls,,,Level 1,Level 1,No,Level 2,No,No,Yes,No
d0796a7e-9ed9-4b45-921d-6b0a20780c27,Bowls,Flat Green Bowls,,,Level 1,Level 1,No,Level 2,No,No,Yes,No
3f0def6f-600f-43d2-b86b-d4114231d50a,Bowls,Short Mat Bowls,,,Level 1,Level 1,No,Level 2,No,No,Yes,No
d4417bb3-383f-489b-b0c7-731b82f3b220,Boxing,,,"Boxing is fast, technical and requires very high levels of fitness. Scoring is based around technique with bouts decided by judges and the result is based on the number of punches that land in a 'target area'.",Level 1,Level 1,No,,,,Yes,
2ef0ae95-61e2-4beb-9eda-e96f126878de,Boxing,Chess-Boxing,,Chess boxing is a hybrid sport which involves alternating rounds of boxing and chess,Level 1,Level 1,No,No,Level 1,No,Yes,No
da9093e5-3290-4eb4-b77f-5008ad00986e,Camogie,,,,Level 1,No,No,,,,Yes,
e0425262-6f1d-4c58-ba8a-dd790c5351b1,Canoeing,,,Canoeing involves using a paddle to move across the water in a narrow vessel.,Level 1,Level 1,No,,,,Yes,
cb174be9-744b-46ff-b5b8-623257590b0d,Canoeing,Canoe Polo,,Canoe Polo combines paddling and ball handling skills with an exciting contact team game.,Level 1,Level 1,No,No,Level 2,No,Yes,No
d5f34cb1-35c0-46e5-ad6d-181f77274640,Cardiovascular Classes,,,,No,No,No,,,,No,
678b9fc4-1860-4377-85b9-e4c01628582a,Cardiovascular Classes,Aerobics,,"Aerobics is a form of physical exercise that combines rhythmic aerobic exercise with stretching and strength training routines with the goal of improving all elements of fitness (flexibility, muscular strength, and cardiovascular fitness).",No,No,No,Level 2,Level 2,Level 2,No,No
fee226da-a928-44ec-a194-f1d328e2a9df,Cardiovascular Classes,Blast Fx,,,No,No,No,No,No,Level 2,No,No
c3bc55ef-1250-4542-9041-617e3764c7d7,Cardiovascular Classes,Body Combat™,Body combat,BODYCOMBATâ„¢ is a high-energy martial arts-inspired workout that is totally non-contact.,No,No,No,No,No,Level 2,No,No
0fca2365-5304-4fec-9c56-8b53c06020c3,Cardiovascular Classes,Bodyattack™,Body attack,BODYATTACKâ„¢ is the sports-inspired cardio workout for building strength and stamina.,No,No,No,No,No,Level 2,No,No
eda910f1-0de6-4038-b954-43b691f7d954,Cardiovascular Classes,Bodystep™,,"BODY STEPâ„¢ combines basic stepping with moves like burpees, push ups and weight plate exercises to work the upper body.",No,No,No,No,No,Level 2,No,No
31f3db8a-16a1-4cb8-85e7-9413149816b4,Cardiovascular Classes,Born To Move,,,No,No,No,No,No,Level 2,No,No
d19b001c-646b-43fa-8a9b-287e08e1b66c,Cardiovascular Classes,Boxfit,,,No,No,No,No,Level 2,Level 2,No,No
35283629-1fd1-4693-9cd4-d0335549cad9,Cardiovascular Classes,Buggy Boot Camp,,A postnatal fitness programme for mums with their babies in their buggies.,No,No,No,No,No,Level 2,No,No
4ad68772-7dc5-4635-8a0f-d4cd9c656c25,Cardiovascular Classes,Buggy Fitness,,,No,No,No,No,No,Level 2,No,No
59ffeeac-1619-4f01-9c17-b007a3bb345d,Cardiovascular Classes,Burn,,,No,No,No,No,No,Level 2,No,No
ee3cf3ee-082e-4f53-9cb2-3ef0589497ed,Cardiovascular Classes,Chair Based Exercise,,"Chair based exercise classes are designed to help improve strength and balance, from the comfort of a chair.",No,No,No,No,Level 1,Level 2,No,No
b9886ed0-35af-4905-a610-39b1be8a4cf0,Cardiovascular Classes,Exercise To Music,,,No,No,No,No,No,Level 2,No,No
becf4e8f-0903-4f77-84fe-ba593d43fc9c,Cardiovascular Classes,Generic,,,No,No,No,No,No,Level 2,No,No
21b6faae-c7cd-431f-9f2f-7d151e82de33,Cardiovascular Classes,Hiit,,,No,No,No,No,No,Level 2,No,No
5f09c2ca-ceeb-4e0c-871f-e2d0b9971317,Cardiovascular Classes,Indoor Cycling,Spin,Indoor Cycling can takes place on indoors on a stationary bike.,No,No,No,No,Level 1,Level 2,No,No
12756b9e-de31-4372-8df8-027ca02ef5ff,Cardiovascular Classes,Indoor Rowing,,,No,No,No,Level 2,No,Level 2,No,No
