ID,Level 1 (TOP TERMS),Level 2 (BROADER TERM),SYNONYMS,DESCRIPTION,Sport England TT,SportSuite TT,EMD TT,SE BT,SS TT,EMD TT,SE Recognised TT?,SE Recognised BT?
ce759794-142e-43b8-8136-72bcbee1892e,Dance,Rumba,,,Level 1,Level 1,Level 1,No,No,Level 2,Yes,No
a454c7e6-52da-426d-9bd1-743e9d7d266d,Dance,Salsa,,Latin American style of dance with Cuban origins.,Level 1,Level 1,Level 1,No,No,Level 2,Yes,No
d9fa56b8-960a-4eac-b932-c6277106e174,Dance,Samba,,,Level 1,Level 1,Level 1,No,No,Level 2,Yes,No
906f392c-1f51-4ef3-83dd-99b387d5aa84,Dance,Scottish Dance,,,Level 1,Level 1,Level 1,No,No,Level 2,Yes,No
a8258191-c95e-4c7b-8ccb-2272bf6278a8,Dance,Street Cheer,,,Level 1,Level 1,Level 1,No,No,Level 2,Yes,No
85ddf0e4-115d-4c0b-9bca-4c3b4b635bb2,Dance,Street Dance,,,Level 1,Level 1,Level 1,Level 2,No,Level 2,Yes,No
b57b7cc8-3bf1-44a0-8cf6-3befb6b345e7,Dance,Street Dance Hip Hop,,,Level 1,Level 1,Level 1,No,No,Level 2,Yes,No
7aafc311-42f0-41e3-9891-b924e0645f8f,Dance,Street Step,,,Level 1,Level 1,Level 1,No,No,Level 2,Yes,No
3492077c-f460-46e9-a6e7-5cb2384a0345,Dance,Tango,,,Level 1,Level 1,Level 1,No,No,Level 2,Yes,No
a3245596-9505-4b4e-ac9e-db1b5e6732fb,Dance,Tap,,Tap dancing is a form of dance characterised by the sounds of tap shoes striking the floor as a form of percussion.,Level 1,Level 1,Level 1,No,No,Level 2,Yes,No
24ad6d76-f62b-49c6-b11b-2f7cf02a65d3,Dance,Urban,,,Level 1,Level 1,Level 1,No,No,Level 2,Yes,No
304ffd59-4389-4c7b-bcab-90f9dad8aaf5,Dance,Voguing,,,Level 1,Level 1,Level 1,No,No,Level 2,Yes,No
01f250d7-0a49-448e-a872-b3d51fe266c9,Dance,Waacking,,,Level 1,Level 1,Level 1,No,No,Level 2,Yes,No
001fbbe6-757f-4186-9e9f-2f180ca5a4a6,Dance,Waltz,,,Level 1,Level 1,Level 1,No,No,Level 2,Yes,No
376ac090-f1ba-49d6-87f5-e2640494798a,Dance,Wheelchair Dance Sport,Wheelchair Dancing,Wheelchair dance sport is a sport which involves athletes with a physical impairment that affects the lower limbs.,Level 1,Level 1,Level 1,No,No,Level 2,Yes,No
8f59fab3-ea66-401b-8e5b-4fdeab28e668,Dance,Wheelchair Ballroom Dancing,,,Level 1,Level 1,Level 1,Level 2,No,No,Yes,No
d3b5104a-2e31-4cca-a278-ef8e0987a764,Dance Fitness,,,,Level 2,No,Level 1,,,,No,
b976886d-d5f5-49c7-9502-008ab3d3d7a6,Dance Fitness,Azonto Beats,,,Level 2,No,Level 1,No,No,Level 2,No,No
d8f950b3-238d-406e-a33f-70a0fb6e8888,Dance Fitness,Ballestics,,,Level 2,No,Level 1,No,No,Level 2,No,No
c44e1f63-8925-4ec6-97a5-6719d751c69a,Dance Fitness,Ballet Fitness,,,Level 2,No,Level 1,No,No,Level 2,No,No
77127099-78be-4cbb-b1bc-8411b040abfb,Dance Fitness,Barreconcept,,"Incorporates pilates and yoga with the positions, moves and techniques of Ballet.",Level 2,No,Level 1,No,Level 1,Level 2,No,No
74f646fd-729a-40c6-9d55-655caaf0be72,Dance Fitness,Barrecore,,,Level 2,No,Level 1,No,No,Level 2,No,No
433cd2b6-d661-409a-a6c5-76f0a34bbb4c,Dance Fitness,Bellydance Fitness,,,Level 2,No,Level 1,No,No,Level 2,No,No
8112356e-fb65-41da-af16-92a77ab41318,Dance Fitness,Belrobics,,,Level 2,No,Level 1,No,No,Level 2,No,No
8091d1ac-4bb1-449c-9779-199c042fff90,Dance Fitness,Bhangracise,,,Level 2,No,Level 1,No,No,Level 2,No,No
6a3eece8-bca4-4159-a5de-094a0c10cf6a,Dance Fitness,Body Jam™,Body Jam,Body Jam is a choreographed dance workout,Level 2,No,Level 1,No,No,Level 2,No,No
00d8ae15-5e40-4d08-83f4-e0328fed8aab,Dance Fitness,Bokwa,,Bokwa participants draw letters and numbers with their feet while performing an energizing and addictive cardio workout routine.,Level 2,No,Level 1,No,Level 2,Level 2,No,No
a31c6b89-7794-4cc6-9a4f-3cc0e03b428f,Dance Fitness,Boogie Bounce,,Boogie Bounce is a 'fat burning' class on mini trampolines with stability handles.,Level 2,No,Level 1,No,Level 2,Level 2,No,No
3ab9ba4c-d0cd-4521-8c70-acbed5c3d5f0,Dance Fitness,Booiaka®,,Booiaka is a freestyle dance class meaning 'it's the way you move',Level 2,No,Level 1,No,No,Level 2,No,No
4ec24176-1e57-48d6-a4d4-afd56de2bc0d,Dance Fitness,Booty Barre,,,Level 2,No,Level 1,No,No,Level 2,No,No
a4b01c1f-0668-4e2b-853f-8bf393b208f1,Dance Fitness,Bounce Dancefit,,,Level 2,No,Level 1,No,No,Level 2,No,No
38bfaac1-8fdf-4b5d-b076-d53d681738ab,Dance Fitness,Burlesque Dance Fitness,,,Level 2,No,Level 1,No,No,Level 2,No,No
10c49f6c-ec59-41ac-9e41-4f4fb9035245,Dance Fitness,Burlexercise,,,Level 2,No,Level 1,No,No,Level 2,No,No
1749b17d-f802-4ae7-b164-346dc7b9e0dd,Dance Fitness,Chasamba®,,,Level 2,No,Level 1,No,No,Level 2,No,No
9e44e734-eb79-4522-a32a-e295a99b74aa,Dance Fitness,Cheer Dance,,,Level 2,No,Level 1,No,No,Level 2,No,No
0141d752-088f-4bab-99fa-9a3d61ee5cf9,Dance Fitness,Cheerleading,,,Level 2,No,Level 1,Level 1,Level 2,Level 2,No,No
a19e1921-57f4-4504-a6bd-240972116d59,Dance Fitness,Cheerobics®,,,Level 2,No,Level 1,No,No,Level 2,No,No
51555787-12cd-4b09-b1c7-e03415c47a4c,Dance Fitness,Chinese Movement & Dance,,,Level 2,No,Level 1,No,No,Level 2,No,No
f2c27c1e-a195-41a6-9f64-6c7bfe65fe66,Dance Fitness,Classic Nia,,,Level 2,No,Level 1,No,No,Level 2,No,No
ff29e6fa-bc3d-4b29-97eb-9ae0c970d0ae,Dance Fitness,Club Cardio,,,Level 2,No,Level 1,No,No,Level 2,No,No
55cc1b4d-6181-47d9-bd85-7f8a15ba6130,Dance Fitness,Clubbercise,,,Level 2,No,Level 1,No,Level 2,Level 2,No,No
05fe1f0c-71aa-4ae3-91db-e0edd9a34b06,Dance Fitness,Combi Dance Sport,,,Level 2,No,Level 1,No,No,Level 2,No,No
7a5bf6bb-e56d-41b9-8ebf-dd1d1a89455d,Dance Fitness,Cubatone,,,Level 2,No,Level 1,No,No,Level 2,No,No
6b176d87-b82b-4fab-aec1-6d6f94ba8e4c,Dance Fitness,Dance Aerobics,,,Level 2,No,Level 1,No,No,Level 2,No,No
88a50ef9-5740-4919-a7d9-4d921d0b1c16,Dance Fitness,Dance Moves,,,Level 2,No,Level 1,No,No,Level 2,No,No
b3dffab9-fb27-4dc2-9d1a-6279d6feb461,Dance Fitness,Dance Sport,,,Level 2,No,Level 1,No,No,Level 2,No,No
f0d6d771-12a0-48f6-8672-3f89148bc420,Dance Fitness,Dancercise,,,Level 2,No,Level 1,No,No,Level 2,No,No
2d58e4b0-c94c-4fe4-af5b-df9fada379fd,Dance Fitness,Ddmix,,,Level 2,No,Level 1,No,No,Level 2,No,No
5dcf53a8-8408-4298-b6f7-169aec0e5d0e,Dance Fitness,Divacise,,,Level 2,No,Level 1,No,No,Level 2,No,No
a7e6619b-056c-493a-8577-7183bfc089a1,Dance Fitness,Fierce,,,Level 2,No,Level 1,No,No,Level 2,No,No
18383130-20e1-4a19-980b-ef9c518c3b72,Dance Fitness,Fitness League,,Fitness League is used to deliver 'Bagot Stack' which is designed to improve posture and well-being through core stability and rhythmic exercise to music.,Level 2,No,Level 1,No,Level 2,Level 2,No,No
5fec7c88-47c6-4304-b6d7-730d47348d67,Dance Fitness,Fitsteps®,FitSteps,FitSteps was designed by Natalie Lowe and Ian Waite of â€˜Strictly Come Dancingâ€™ and delivers a mixture of Ballroom and Latin.,Level 2,No,Level 1,No,No,Level 2,No,No
2faf7812-4197-4215-a79f-0d8f5d909616,Dance Fitness,Flowetic®,,,Level 2,No,Level 1,No,No,Level 2,No,No
03f33259-16af-44d9-b37b-ce240a33ad3f,Dance Fitness,Freez,,,Level 2,No,Level 1,No,No,Level 2,No,No
284733f2-5d18-430a-8f1b-7889df665854,Dance Fitness,Generic,,,Level 2,No,Level 1,No,No,Level 2,No,No
88014533-76c8-49dd-ba7d-f7309b46a5af,Dance Fitness,Globe Fit,,,Level 2,No,Level 1,No,No,Level 2,No,No
c372c3bf-ec95-48d8-89c9-d9a2cc824709,Dance Fitness,Globe Fit Hoola,,,Level 2,No,Level 1,No,No,Level 2,No,No
64f6baac-a0b1-4072-9e33-c4a34e6d44f7,Dance Fitness,Groove Fx,,,Level 2,No,Level 1,No,No,Level 2,No,No
01e18a21-51d5-4779-9419-2843851816f9,Dance Fitness,Highland Hustle,,,Level 2,No,Level 1,No,No,Level 2,No,No
b3061d83-e2cc-4ddf-8179-1c4295e9ee54,Dance Fitness,Hoop Dance,,,Level 2,No,Level 1,No,No,Level 2,No,No
020e0782-66a4-4189-a939-4c55803438be,Dance Fitness,Hot Hula Fitness,,,Level 2,No,Level 1,No,No,Level 2,No,No
da4f03ab-1fee-42b5-9f80-0fa9e9c4cf97,Dance Fitness,Hula Fitness,,,Level 2,No,Level 1,No,No,Level 2,No,No
73f5b219-e6c2-4d58-bbf1-290307db5881,Dance Fitness,Hulacise,,,Level 2,No,Level 1,No,No,Level 2,No,No
3dc2148f-54c4-4482-b0fa-931822bdbd39,Dance Fitness,Jagua®,,,Level 2,No,Level 1,No,No,Level 2,No,No
57fbbb8f-f843-4c78-949e-9ff2485e74f3,Dance Fitness,Jazzercise,,Jazzercise classes combine dance-based cardio with strength training to music.,Level 2,No,Level 1,No,Level 2,Level 2,No,No
c2c0865a-4e87-4505-800b-afd315d74172,Dance Fitness,Just Jhoom!,,,Level 2,No,Level 1,No,No,Level 2,No,No
79c40dd8-24f7-4376-b30f-028002250da5,Dance Fitness,Kfa Body Moves,,,Level 2,No,Level 1,No,No,Level 2,No,No
bcf837e8-bf82-4100-8da5-a7e079db004f,Dance Fitness,Kfa Creative Moves,,,Level 2,No,Level 1,No,No,Level 2,No,No
4b70335d-c213-4dfe-a344-4aaeedc4ae69,Dance Fitness,Kfa Fit Moves,,,Level 2,No,Level 1,No,No,Level 2,No,No
1960f302-c1e4-44be-a066-a9ded5b2e0e6,Dance Fitness,Kfa Mature Moves,,,Level 2,No,Level 1,No,No,Level 2,No,No
f1733763-e6f2-4ec1-a7af-bac6879fdf15,Dance Fitness,Kfa Moves,,,Level 2,No,Level 1,No,No,Level 2,No,No
b23865cb-dd19-462f-ae4d-0a63a28fa7b3,Dance Fitness,Kfa Youth Moves,,,Level 2,No,Level 1,No,No,Level 2,No,No
f7e0c378-a100-49ea-a239-1a5fa062d5fb,Dance Fitness,Konga®,,,Level 2,No,Level 1,No,No,Level 2,No,No
4d569686-4971-4ea8-bda1-cd34bf17ba67,Dance Fitness,Mash It Up,,,Level 2,No,Level 1,No,No,Level 2,No,No
562ef2a8-0936-4cf5-8504-aff783fe0521,Dance Fitness,Medau Mature Moves,,,Level 2,No,Level 1,No,No,Level 2,No,No
52b5604b-9139-4235-be4a-6441c506605b,Dance Fitness,Medau Movement,,,Level 2,No,Level 1,No,No,Level 2,No,No
95875523-6fca-4eb6-b53e-9250e31bdb6a,Dance Fitness,Nia,,,Level 2,No,Level 1,No,No,Level 2,No,No
6ec422f3-0524-476b-aadf-7e67df46a63d,Dance Fitness,Party Fitness,,,Level 2,No,Level 1,No,No,Level 2,No,No
2cc156d8-0bee-4e38-bd84-89f41da6f9da,Dance Fitness,Pole Fitness,,"Pole dancing is a form of performance art and fitness, which combines dance and acrobatics centered on a vertical pole.",Level 2,No,Level 1,No,Level 2,Level 2,No,No
6837e64f-04d7-48c2-b99e-f36847f9e7b9,Dance Fitness,Popdance Active & Able,,,Level 2,No,Level 1,No,No,Level 2,No,No
71bf180d-d28c-4822-a7ee-25e97c7e4662,Dance Fitness,Popdance Adults,,,Level 2,No,Level 1,No,No,Level 2,No,No
9c39316e-6d6a-4101-9e88-c721d784fe20,Dance Fitness,Popdance Fit,,,Level 2,No,Level 1,No,No,Level 2,No,No
a1a27e85-f64b-44e7-98c9-efdb5be83a02,Dance Fitness,Popdance Kids,,,Level 2,No,Level 1,No,No,Level 2,No,No
97fb991a-50a7-488a-be64-4dc2759fc5d3,Dance Fitness,Popdance Teens,,,Level 2,No,Level 1,No,No,Level 2,No,No
df2f0608-7124-4833-8cc1-bbb5b9da34fe,Dance Fitness,Popdance Tots,,,Level 2,No,Level 1,No,No,Level 2,No,No
6bdea630-ad22-4e58-98a3-bca26ee3f1da,Dance Fitness,Rave Fitness,,,Level 2,No,Level 1,No,No,Level 2,No,No
221eeae9-f696-4b62-b065-556e9720c54b,Dance Fitness,Ravercise,,,Level 2,No,Level 1,Level 2,No,Level 2,No,No
28f78557-642e-405f-ba0e-eec50cfabf04,Dance Fitness,Salsa Aerobics,,,Level 2,No,Level 1,No,No,Level 2,No,No
a58a4e1b-ee15-437a-9d7e-de201b3daaf7,Dance Fitness,Shbam™,,,Level 2,No,Level 1,No,No,Level 2,No,No
f8483e8d-2976-4fa4-91b4-4d19b379802a,Dance Fitness,Sosa™,,,Level 2,No,Level 1,No,No,Level 2,No,No
2f590a5b-bb2e-40ad-ae15-5db383408ad8,Dance Fitness,Street Fit,,,Level 2,No,Level 1,No,No,Level 2,No,No
c5a0f002-17c0-42a2-9da3-a90b198a8a55,Dance Fitness,Street Step,,,Level 2,No,Level 1,No,No,Level 2,No,No
718dd868-54ad-4626-bb51-cf15019f62fc,Dance Fitness,Swing Train,,,Level 2,No,Level 1,No,No,Level 2,No,No
6490e361-ffde-44ff-b779-be7607297b44,Dance Fitness,Synergy®,,,Level 2,No,Level 1,No,No,Level 2,No,No
4aeecde4-1998-4ee9-9c27-01d2ff046c50,Dance Fitness,Tyga®,,,Level 2,No,Level 1,No,No,Level 2,No,No
cb43f105-1d34-4f68-8c04-a8522e987615,Dance Fitness,Veraflow,,,Level 2,No,Level 1,No,No,Level 2,No,No
706d50fc-4b14-419f-be56-c6a59fc9c5ef,Dance Fitness,Wheelchair Dance Sport,,,Level 2,No,Level 1,No,No,Level 2,No,No
c0d30b01-52fa-4b6b-a508-b51290173a1b,Dance Fitness,Yoga Rave,,,Level 2,No,Level 1,No,No,Level 2,No,No
de8cb1f4-176a-4744-9978-ae23a0089b64,Dance Fitness,Zumba Glow,,,Level 2,No,Level 1,No,No,Level 2,No,No
7d5a96a4-3539-4b76-a116-6fa05edb77f1,Dance Fitness,Zumba Sentao™,,,Level 2,No,Level 1,No,No,Level 2,No,No
78503fa2-ed24-4a80-a224-e2e94581d8a8,Dance Fitness,Zumba®,Zumba,,Level 2,No,Level 1,No,No,Level 2,No,No
7f4fffb6-f136-46e0-9fac-7142567b41b5,Dance Fitness,Zumba® Gold,,Zumba Gold® is designed for active older adults who are looking for a modified Zumba® class that recreates the original moves but at a lower-intensity.,Level 2,No,Level 1,No,No,Level 2,No,No
21ab8610-1377-4308-939c-bfeb966f1b05,Dance Fitness,Zumba® Kids,,Zumba® for kids,Level 2,No,Level 1,No,No,Level 2,No,No
bfe10990-df14-4252-8e96-296051478db7,Dance Fitness,Zumba® Kids Jr.,,,Level 2,No,Level 1,No,No,Level 2,No,No
f1ef142d-7607-46e5-9406-5e12ae0c00a7,Dance Fitness,Zumba® Step,,,Level 2,No,Level 1,No,No,Level 2,No,No
54706d22-5a4b-4298-97d3-8b19be20d47a,Dance Fitness,Zumba® Toning,,,Level 2,No,Level 1,No,No,Level 2,No,No
b008b1d5-9019-463e-9941-74bb34a9edfa,Darts,,,,Level 1,No,No,,,,Yes,
aafbe00d-e03e-4e5d-9612-c53c8b332d94,Diving,,,Diving is a sport where the diver jumps into a pool from a platform or springboard at a range of heights.,Level 1,Level 2,No,,,,Yes,
9cd1a9a0-0582-4166-bb69-d8f568f86e89,Diving,Platform Diving,,,Level 1,Level 2,No,Level 2,No,No,Yes,No
f38d52ca-3c19-4194-b115-1261b3491d44,Dodgeball,,,Dodgeball is a game in which players try to hit other players on the opposing team with balls while avoiding being hit themselves.,Level 1,Level 1,No,,,,Yes,
578efdf0-b09f-4035-88d8-a17db31e5d6e,Dragon Boat Racing,,,,Level 1,No,No,,,,Yes,
45a372d9-baca-4f6c-859f-04de3efae742,Equestrian,,Horse Riding,"Horse riding, or equestrian sport, refers to the skill of training and riding horses.",Level 1,Level 1,No,,,,Yes,
c07a722b-cf04-4942-84b9-df5e41de6d19,Equestrian,Dressage,Horse Riding,Dressage is a competitive equestrian sport,Level 1,Level 1,No,Level 2,Level 2,No,Yes,Yes
80f89d89-ec8f-4f2a-95a9-ad1059a9ba4e,Equestrian,Eventing,Horse Riding,"Eventing combines the three elements of Dressage, Show Jumping and Cross Country.",Level 1,Level 1,No,Level 2,Level 2,No,Yes,Yes
69178f7f-d8fb-447d-934e-50fffddfbd1f,Equestrian,Horse Racing,Horse Riding,,Level 1,Level 1,No,Level 1,No,No,Yes,No
15c92817-bb3b-4734-82ef-de09b8d33ca2,Equestrian,Pony Trekking,Horse Riding,Riding on a pony through the countryside,Level 1,Level 1,No,Level 2,Level 1,No,Yes,No
5a21f34d-86ae-49a2-bb71-1ce191e3a1b8,Equestrian,Show Jumping,Horse Riding,"Show jumping takes place over a course of obstacles, which can include verticals, spreads, double and triple combinations, usually with many turns and changes of direction.",Level 1,Level 1,No,Level 2,Level 2,No,Yes,Yes
a0014119-71aa-429a-b6ae-44d36f39dec7,Equestrian,Hacking,,,Level 1,Level 1,No,Level 2,No,No,Yes,No
87e79d1d-3a80-4d8b-9d37-67d3e45b6a8e,Equestrian,Harness Racing,,,Level 1,Level 1,No,Level 2,No,No,Yes,Yes
92206447-d68e-4e5e-9550-fe608cefb10c,Equestrian,Polocrosse,,,Level 1,Level 1,No,Level 2,No,No,Yes,Yes
159ec3f8-86cc-4a14-8a48-c619e40756bf,Equestrian,Schooling,,,Level 1,Level 1,No,Level 2,No,No,Yes,No
de71c5ea-e93e-49aa-808a-f4a2e68cdddd,Exercise machine,,,,Level 1,No,No,,,,No,
831ce34c-0218-48f5-8de4-54332e983b01,Exercise machine,Cross training machine,,,Level 1,No,No,Level 2,No,No,No,No
ab4c1a81-a7c5-4368-b254-a066d68b8662,Exercise machine,Exercise bike,,,Level 1,No,No,Level 2,No,No,No,No
0f31b611-d9a0-402d-a3c9-637ddcf02e43,Exercise machine,Resistance weights machines,,,Level 1,No,No,Level 2,No,No,No,No
f1536a01-4340-472e-99e8-312a58f06660,Exercise machine,Rowing machine,Indoor rowing,,Level 1,No,No,Level 2,No,No,No,No
23a62930-761a-4dd0-a54e-72e946904c43,Exercise machine,Step machine,,,Level 1,No,No,Level 2,No,No,No,No
45cd1e2e-b994-4b00-9cca-28bebb67aa24,Exercise machine,Treadmill,,,Level 1,No,No,Level 2,No,No,No,No
1c650bc5-a7a3-4f75-b318-47a394118588,Exercise machine,Running machine,,,Level 1,No,No,Level 2,No,No,No,No
92808e60-820c-4ee2-89ec-ea8d99d3f528,Fencing,,,"There are three types of fencing - epee, foils and sabre.",Level 1,Level 1,No,,,,Yes,
097723ea-70e3-41c6-a1b8-6d1e619d7154,Fencing,Wheelchair Fencing,,Wheelchair fencing is Fencing for the physically disabled.,Level 1,Level 1,No,No,Level 1,No,Yes,No
2003612f-c42e-4399-8056-0630d09492d2,Fives,,,,Level 1,No,No,,,,Yes,
518a008c-861d-4785-9716-2ba945d2b360,Fives,Eton,,,Level 1,No,No,No,No,No,Yes,Yes
5d528d2f-83df-482e-bfb9-fcaee5b85f4a,Fives,Rugby,,,Level 1,No,No,No,No,No,Yes,Yes
c76018ee-50a6-42b3-b0dd-a9efb56ae7ab,Floorball,,,Floorball is a type of floor hockey with five field players and a goalkeeper on each team.,Level 1,Level 1,No,,,,Yes,
0a5f732d-e806-4e51-ad40-0a7de0239c8c,Football,,,Football is widely considered to be the most popular sport in the world. The beautiful game is England's national sport,Level 1,Level 1,No,,,,Yes,
6016ce87-d9ed-4bd6-8cc9-5598c2f59f79,Football,Blind Football,,"While the core game remains the same as sighted football, there are a few alterations to make football accessible to people with visual impairments.",Level 1,Level 1,No,No,Level 2,No,Yes,No
1de4c90e-6a27-4bc4-a2be-437a443c7ded,Football,Futsal,,Futsal is the global format for indoor small-sided football and the worlds fastest growing indoor sport.,Level 1,Level 1,No,Level 1,Level 2,No,Yes,Yes
22fe3033-b0e4-4717-8455-599180b5bcba,Football,Small Sided Football,,,Level 1,Level 1,No,Level 2,No,No,Yes,No
b8019b67-2ade-406f-a012-91a5c3869652,Football,Walking Football,,Walking football is a variant of football that is aimed at keeping people aged over-50 involved with football.,Level 1,Level 1,No,Level 2,Level 2,No,Yes,No
f6301564-93d5-41ff-91a1-7ac2dd833951,Football,Powerchair Football,,Powerchair is a competitive team sport for people with disabilities who use power wheelchairs.,Level 1,Level 1,No,No,Level 2,No,Yes,No
666cf454-4733-4697-89cb-8e28f6e8595b,Football,Wheelchair Football,,,Level 1,Level 1,No,No,Level 1,No,Yes,No
4ba72fbb-fc08-4f3e-b779-342be690bc1c,Footgolf,,,Footgolf is played on a golf course using a size 5 football.,No,Level 1,No,,,,No,
f5cb51c4-bf16-47a7-b149-d9463704cb42,Gaelic Games,,,,No,No,No,,,,Yes,
4d42c46a-d023-476b-a24b-0c4a99ae6be4,Gaelic Games,Gaelic Handball,,,No,No,No,No,No,No,Yes,No
1f820c4a-0388-4e95-a767-0daf0cc11573,Gaelic Games,Hurling,,,No,No,No,Level 1,No,No,Yes,Yes
bb481220-a155-49fd-9b9d-21884dcb6070,Gaelic Games,Gaelic Football,,Gaelic Football is a combination of rugby and football.,No,No,No,Level 1,Level 2,No,Yes,No
5b880e93-4a16-4c37-86ac-ba2ffba68358,Gardening,,,,Level 1,Level 1,No,,,,No,
05ac6c7c-1479-43cc-9985-4119f1d8fce0,Geocaching,,,"Geocaching is the real-world treasure hunt that's happening right now, all around you. There are 2,775,063 active geocaches and over 15 million geocachers worldwide.",No,Level 1,No,,,,No,
ee4d8ab0-524d-49b4-bf02-b5f6fc0fdc5c,Gliding,,,Gliding involves flying in an engine-less aircraft,Level 1,Level 1,No,,,,Yes,
51ead1ae-5d80-41ba-931a-42df1a100cf2,Gliding,Hang Gliding,,,Level 1,Level 1,No,Level 2,No,No,Yes,No
8395e45d-6bc4-4b76-8590-25839a63cc6c,Gliding,Para Gliding,,,Level 1,Level 1,No,Level 2,No,No,Yes,No
59d547bb-0d3b-40a8-b9c6-6d6f33e1e16b,Goalball,,,The object of the game is to score a goal by bowling the ball along the floor so that it crosses the goal line of the opposing team.,Level 1,Level 1,No,,,,Yes,
7ae6067a-07f7-4aea-9e1f-eeeea5ae9047,Golf,,,"Golf is an adaptable game that it suits everyone, whatever their age, fitness level or ability. Whether you want to keep healthy, burn calories or spend time with friends, golf is for you.",Level 1,Level 1,No,,,,Yes,
eaa5efed-f7d3-40b3-8f6e-1951c2a09a65,Golf,Adventure Golf,Crazy Golf,,Level 1,Level 1,No,Level 2,No,No,Yes,No
920c6d6b-a912-43bb-ae3c-0378b8ca0855,Golf,Driving Range,,,Level 1,Level 1,No,Level 2,No,No,Yes,No
e2dfac8f-9b4f-4dfb-980f-b0d8f1ed5333,Golf,Full Course Golf,,,Level 1,Level 1,No,Level 2,No,No,Yes,No
c26bb4b7-060d-4f73-b4c1-9749f078def1,Golf,Golf Xtreme,,Golf Xtreme is the golf game and programme for secondary schools,Level 1,Level 1,No,No,Level 2,No,Yes,No
dba4de0f-b94d-4aff-bda1-46c20f8dfff0,Golf,Pitch And Putt,Putting,,Level 1,Level 1,No,Level 2,No,No,Yes,No
ff6d2caa-ee67-4b79-a3bd-0b497e31b0f7,Golf,Short Course Golf,,,Level 1,Level 1,No,Level 2,No,No,Yes,No
858d08bb-6f3d-477d-8a96-8df275a7d7d8,Golf,Speedgolf,,"Speedgolf is a fun, fast, and fitness-oriented alternative to traditional golf.",Level 1,Level 1,No,No,Level 2,No,Yes,No
62c96301-5aa3-4cef-bf68-8420d7a91755,Golf,Texas Scramble Golf,,Variation of golf that involves playing as a team.,Level 1,Level 1,No,No,Level 2,No,Yes,No
7be1393f-6b55-4d00-818f-ed58c9ea81bc,Golf,Tri-Golf,,"A 'mini' version of golf designed specifically for young children at infant, primary and junior schools.",Level 1,Level 1,No,No,Level 2,No,Yes,No
f6ccded0-2666-4a51-88a4-ed6905bb4313,Gymnastics,,,"Gymnastics is an acrobatic sport which requires strength, agility and co-ordination.",Level 1,Level 1,No,,,,Yes,
864e81a0-77fc-4e23-af9d-240ec3fcc56b,Gymnastics,Artistic Gymnastics,,Artistic gymnastics is a discipline of gymnastics where gymnasts perform short routines on different apparatus,Level 1,Level 1,No,No,Level 2,No,Yes,No
e0e18bd1-00e7-4cab-9752-368d455201cd,Gymnastics,Rhythmic Gymnastics,,Rhythmic Gymnastics discipline within Gymnastics,Level 1,Level 1,No,No,Level 2,No,Yes,No
14232d6d-5e9d-493d-b4a9-ce2061b79ba5,Handball,,,Handball is a team sport that requires you to score by throwing a ball into a goal.,Level 1,Level 1,No,,,,Yes,
01792ac1-4111-4814-9942-cb8a7f9c58c2,Highland Games,,,,Level 1,No,No,,,,Yes,
512ee498-f70d-466d-a11b-7940322de3d6,Highland Games,Caber toss,,,Level 1,No,No,Level 2,No,No,Yes,No
8a1fd08b-d1a7-44fa-9b7e-6db43e3a9f45,Highland Games,Scottish Hammer throw,,,Level 1,No,No,Level 2,No,No,Yes,No
5d01e863-5273-43cf-b854-709261cd3694,Highland Games,Sheaf toss,,,Level 1,No,No,Level 2,No,No,Yes,No
bcfb61fb-2756-44ac-a69c-742b62303bc1,Highland Games,Stone put,,,Level 1,No,No,Level 2,No,No,Yes,No
569414aa-290f-4f84-afd6-8ad7a5c27377,Highland Games,Weight over the bar,,,Level 1,No,No,Level 2,No,No,Yes,No
700989ef-a6d2-492c-a3c8-d028f08d8eba,Highland Games,Weight throw,,,Level 1,No,No,Level 2,No,No,Yes,No
fbb36017-6222-4af2-8186-392e3da0a418,Hockey,,,"Team, ball game played with sticks.",Level 1,Level 1,No,,,,Yes,
a66168d3-5b36-4a14-8e13-4cd9e914cb8f,Hockey,Field Hockey,,,Level 1,Level 1,No,Level 2,No,No,Yes,No
594e5805-3a5c-4c60-80fc-c0a28eb64a06,Holistic Classes,,,,No,No,No,,,,No,
1a8e23f3-5e12-411f-99fc-a4fe98010f7d,Holistic Classes,Ashtanga Yoga,,Ashtanga is an advanced form of yoga that focuses on building strength and flexibility through flow sequenced postures.,No,No,No,Level 2,Level 2,Level 2,No,No
a7f3179d-1640-4621-96d7-92e620a5e3a8,Holistic Classes,Bikram Yoga,,,No,No,No,Level 2,No,Level 2,No,No
b6402e8e-e405-4b97-8c76-4868324bc907,Holistic Classes,Bodybalance™,Body balance,"BODY BALANCEâ„¢ is a combination workout of Yoga, Tai Chi and Pilates.",No,No,No,No,No,Level 2,No,No
bb2598e9-9b4f-49e1-8463-c6e1312b36b4,Holistic Classes,Chi Kung,,,No,No,No,No,No,Level 2,No,No
2908ef3f-ba30-47a1-9333-f80dbb6f7b8f,Holistic Classes,Chiball,,,No,No,No,No,No,Level 2,No,No
fc2308ff-aae7-46c9-83e3-d857dd641ad1,Holistic Classes,Flexaware,,,No,No,No,No,No,Level 2,No,No
